iteration,n_candidates,reward_time_ms,total_time_ms
183,1237,1562.6201629638672,1667.1862602233887
184,1236,1564.4993782043457,1670.1934337615967
185,1235,1555.7944774627686,1657.116174697876
186,1234,1551.3432025909424,1664.896011352539
187,1233,1556.0758113861084,1657.6457023620605
188,1232,1556.015968322754,1663.102388381958
189,1231,1555.544137954712,1656.9218635559082
190,1230,1551.0129928588867,1659.0495109558105
191,1229,1553.6961555480957,1654.1330814361572
192,1228,1558.711290359497,1662.778615951538
193,1227,1560.3950023651123,1660.8052253723145
194,1226,1554.9530982971191,1657.940149307251
195,1225,1542.8252220153809,1641.6761875152588
196,1224,1537.4305248260498,1639.9576663970947
197,1223,1545.6492900848389,1647.4120616912842
198,1222,1538.8648509979248,1645.5917358398438
199,1221,1542.5043106079102,1641.2560939788818
200,1218,1532.0336818695068,1639.538049697876
201,1217,1532.9878330230713,1631.3040256500244
202,1216,1533.5097312927246,1636.1305713653564
203,1215,1534.013271331787,1635.9961032867432
204,1214,1538.3954048156738,1640.1758193969727
205,1213,1542.9420471191406,1656.4760208129883
206,1212,1547.0147132873535,1649.4486331939697
207,1211,1513.390302658081,1613.4815216064453
208,1210,1524.4176387786865,1626.5385150909424
209,1209,1522.723913192749,1621.8008995056152
210,1208,1524.5237350463867,1626.0337829589844
211,1207,1525.8874893188477,1629.3933391571045
212,1206,1524.2931842803955,1627.6743412017822
213,1205,1522.8466987609863,1620.3441619873047
214,1204,1541.3143634796143,1644.0722942352295
215,1203,1527.869701385498,1626.002550125122
216,1202,1536.7999076843262,1639.1792297363281
217,1201,1511.2824440002441,1608.4234714508057
218,1200,1515.350103378296,1617.3782348632812
219,1199,1506.9794654846191,1603.7354469299316
220,1198,1505.2790641784668,1612.656831741333
221,1197,1512.7475261688232,1610.0897789001465
222,1196,1530.632495880127,1631.575345993042
223,1195,1511.2824440002441,1608.163595199585
224,1194,1506.4952373504639,1612.7517223358154
225,1193,1534.2648029327393,1640.7983303070068
226,1192,1512.2921466827393,1623.9886283874512
227,1191,1513.5605335235596,1610.1951599121094
228,1190,1504.6093463897705,1604.687213897705
229,1189,1496.053695678711,1600.0189781188965
230,1188,1498.887538909912,1602.4231910705566
231,1187,1504.6143531799316,1605.1898002624512
232,1186,1515.3045654296875,1615.5710220336914
233,1185,1504.9047470092773,1607.994794845581
234,1184,1504.401683807373,1605.400800704956
235,1183,1500.1184940338135,1596.9223976135254
236,1182,1508.3434581756592,1609.1175079345703
237,1181,1495.4147338867188,1592.6752090454102
238,1180,1498.6188411712646,1602.2624969482422
239,1179,1495.3219890594482,1592.144250869751
240,1178,1500.1020431518555,1606.069564819336
241,1177,1487.562656402588,1583.430290222168
242,1176,1490.891933441162,1595.4205989837646
243,1175,1511.55686378479,1612.81418800354
244,1174,1486.1326217651367,1586.627721786499
245,1173,1480.543613433838,1585.9355926513672
246,1172,1473.381519317627,1573.758602142334
247,1171,1467.3404693603516,1562.882661819458
248,1170,1477.095365524292,1581.7348957061768
249,1169,1480.302333831787,1576.0233402252197
250,1168,1473.388910293579,1573.2872486114502
251,1167,1488.34228515625,1590.4676914215088
252,1166,1468.6830043792725,1571.8810558319092
253,1165,1483.8685989379883,1580.1522731781006
